Row Type,Action,Keyword status,Level,Campaign,Ad group,Negative keyword,Type
Negative keyword,Add,Enabled,Campaign,法人_保険代理店AI_検索,,求人,Phrase match
Negative keyword,Add,Enabled,Campaign,法人_保険代理店AI_検索,,転職,Phrase match
Negative keyword,Add,Enabled,Campaign,法人_保険代理店AI_検索,,年収,Phrase match
Negative keyword,Add,Enabled,Campaign,法人_保険代理店AI_検索,,資格,Phrase match
Negative keyword,Add,Enabled,Campaign,法人_保険代理店AI_検索,,アプリ,Phrase match
Negative keyword,Add,Enabled,Campaign,法人_保険代理店AI_検索,,比較サイト,Phrase match
Negative keyword,Add,Enabled,Campaign,法人_保険代理店AI_検索,,無料 ツール,Phrase match
Negative keyword,Add,Enabled,Campaign,法人_保険代理店AI_検索,,個人 向け,Phrase match
Negative keyword,Add,Enabled,Campaign,法人_保険代理店AI_検索,,副業,Phrase match
