Row Type,Action,Ad group status,Campaign,Ad group,Ad group type
Ad group,Add,Enabled,法人_保険代理店AI_検索,代理店AI,Standard
Ad group,Add,Enabled,法人_保険代理店AI_検索,保険営業AI,Standard
Ad group,Add,Enabled,法人_保険代理店AI_検索,AI研修助成金,Standard
